Date,Region,Product,Sales,Profit,Marketing_Spend,Customer_Count,Returned_Orders,Is_Holiday,Category
2025-01-01,North,Laptop,12000,2500,4000,120,5,True,Electronics
2025-01-02,South,Mobile,15000,3000,5000,180,8,False,Electronics
2025-01-03,East,Tablet,9000,1800,3500,100,2,False,Electronics
2025-01-04,West,Printer,7000,1200,2000,80,1,False,Accessories
2025-01-05,North,Monitor,11000,2200,3800,115,4,True,Electronics
2025-01-06,South,Laptop,17000,3500,6200,210,9,False,Electronics
2025-01-07,East,Mobile,14000,2900,5100,170,6,False,Electronics
2025-01-08,West,Tablet,9500,1900,3600,105,3,False,Electronics
2025-01-09,North,Printer,6500,1000,1800,75,1,False,Accessories
2025-01-10,South,Monitor,12500,2600,4200,135,5,True,Electronics
2025-01-11,East,Laptop,20000,4200,7000,250,12,False,Electronics
2025-01-12,West,Mobile,16000,3100,5600,190,7,False,Electronics
2025-01-13,North,Tablet,9800,2000,3400,110,2,False,Electronics
2025-01-14,South,Printer,7200,1300,2200,85,1,False,Accessories
2025-01-15,East,Monitor,11800,2400,3900,125,4,True,Electronics
2025-01-16,West,Laptop,21000,4500,7300,270,15,False,Electronics
2025-01-17,North,Mobile,15500,3200,5200,185,7,False,Electronics
2025-01-18,South,Tablet,10200,2100,3500,115,3,False,Electronics
2025-01-19,East,Printer,6900,1100,1900,78,1,False,Accessories
2025-01-20,West,Monitor,13000,2700,4400,140,5,True,Electronics
